,source,target,junction,length,maxspeed,access,name,width,lanes,oneway,bridge,osmid,geometry,tunnel,ref,highway
2757,736792569,1436427064,,128.867,30,,Lausbergstraat,,,False,,200733479,"LINESTRING (4.3659926 52.0017302, 4.3659198 52.0018016, 4.3657874 52.0018891, 4.3655781 52.0019588, 4.3653822 52.0019813, 4.3651267 52.0019559, 4.3643508 52.0017344)",,,residential
2758,1571090443,1571090664,,24.909,50,,Aart van der Leeuwlaan,,2,False,,143566210,"LINESTRING (4.3502845 51.9964547, 4.3502543 51.9965134, 4.3502336 51.9965529, 4.3501852 51.9966701)",,,residential
2759,1571090443,4246422181,,10.644,50,,Aart van der Leeuwlaan,,2,False,,425320659,"LINESTRING (4.3502845 51.9964547, 4.3503132 51.9963998, 4.3503277 51.9963702, 4.3503299 51.9963632)",,,residential
2760,1571090443,1269112834,,15.183,50,,Pierre van Hauwelaan,,1,True,,425320683,"LINESTRING (4.3502845 51.9964547, 4.3501549 51.9964352, 4.3500691 51.9964222)",,,tertiary
2761,44888094,3669218076,,23.648,50,,Sint Jorisweg,,,False,,362651549,,,,secondary
2762,44888094,44884493,,158.398,30,,Sint Eustatiusstraat,,,False,,7468653,"LINESTRING (4.3590933 52.0209026, 4.3590074 52.0208656, 4.358015 52.020489, 4.3575999 52.0203382, 4.3571159 52.0201624)",,,residential
2763,44888094,2860384766,,173.53699999999998,50,,Sint Jorisweg,,,False,,362651549,"LINESTRING (4.3590933 52.0209026, 4.3592215 52.020829, 4.3593126 52.0207767, 4.359954 52.0204086, 4.3609728 52.019855)",,,secondary
2764,1851699236,3669138213,,57.621,30,,Willem Naghelstraat,,,True,,"[362646244, 362646238]","LINESTRING (4.3660977 52.0143228, 4.3662754 52.014345, 4.3665834 52.0144704, 4.3666693 52.0144979, 4.3668487 52.0145442)",,,residential
2765,1851699236,3669138204,,52.608000000000004,30,,Willem Naghelstraat,,,False,,362646240,"LINESTRING (4.3660977 52.0143228, 4.3657544 52.0141801, 4.3654761 52.014045)",,,residential
2766,582004773,2162745213,,12.871,15,,Herenpad,,,False,,143448528,,,,living_street
2767,1851699238,667470905,,97.77,30,,Maria Strickhof,,,False,,7538197,"LINESTRING (4.3688482 52.0156031, 4.3689226 52.0155399, 4.368271 52.0152731, 4.3685758 52.0150144)",,,residential
2768,44814377,44813101,,63.56,30,,Marlotlaan,,,False,,7541701,,,,residential
2769,44814377,1391417166,,81.154,30,,Marlotlaan,,,False,,7541701,"LINESTRING (4.3459459 52.0039232, 4.3454041 52.0043766, 4.3452434 52.0045111)",,,residential
