,repl,p,day,mean,std
449,0,1.0,49,2.4989339019189765,2.292160149737825
450,1,0.65,0,2.4714640198511164,2.254935709608454
451,1,0.65,1,3.2961895613192445,2.917234604428874
452,1,0.65,2,3.6723270440251574,3.198899070402448
453,1,0.65,3,3.857947434292866,3.342499516185804
454,1,0.65,4,3.951844903064415,3.404654862246731
455,1,0.65,5,3.9949984370115663,3.4325411802382395
456,1,0.65,6,4.01625,3.4480539836022834
457,1,0.65,7,4.02625,3.4551471134370444
458,1,0.65,8,4.029375,3.4562979085844545
459,1,0.65,9,4.030625,3.4590896585692357
460,1,0.65,10,4.030625,3.4590896585692357
461,1,0.65,11,4.03125,3.4594455283399257
462,1,0.65,12,4.03125,3.4594455283399257
463,1,0.65,13,4.03125,3.4594455283399257
464,1,0.65,14,4.03125,3.4594455283399257
465,1,0.65,15,4.03125,3.4594455283399257
466,1,0.65,16,4.03125,3.4594455283399257
467,1,0.65,17,4.03125,3.4594455283399257
468,1,0.65,18,4.03125,3.4594455283399257
469,1,0.65,19,4.03125,3.4594455283399257
470,1,0.65,20,4.03125,3.4594455283399257
471,1,0.65,21,4.03125,3.4594455283399257
472,1,0.65,22,4.03125,3.4594455283399257
473,1,0.65,23,4.03125,3.4594455283399257
474,1,0.65,24,4.03125,3.4594455283399257
475,1,0.65,25,4.03125,3.4594455283399257
476,1,0.65,26,4.03125,3.4594455283399257
477,1,0.65,27,4.03125,3.4594455283399257
478,1,0.65,28,4.03125,3.4594455283399257
479,1,0.65,29,4.03125,3.4594455283399257
480,1,0.65,30,4.03125,3.4594455283399257
481,1,0.65,31,4.03125,3.4594455283399257
482,1,0.65,32,4.03125,3.4594455283399257
483,1,0.65,33,4.03125,3.4594455283399257
484,1,0.65,34,4.03125,3.4594455283399257
485,1,0.65,35,4.03125,3.4594455283399257
486,1,0.65,36,4.03125,3.4594455283399257
487,1,0.65,37,4.03125,3.4594455283399257
488,1,0.65,38,4.03125,3.4594455283399257
489,1,0.65,39,4.03125,3.4594455283399257
490,1,0.65,40,4.03125,3.4594455283399257
491,1,0.65,41,4.03125,3.4594455283399257
492,1,0.65,42,4.03125,3.4594455283399257
493,1,0.65,43,4.03125,3.4594455283399257
494,1,0.65,44,4.03125,3.4594455283399257
495,1,0.65,45,4.03125,3.4594455283399257
496,1,0.65,46,4.03125,3.4594455283399257
497,1,0.65,47,4.03125,3.4594455283399257
498,1,0.65,48,4.03125,3.4594455283399257
499,1,0.65,49,4.03125,3.4594455283399257
500,1,0.7,0,2.4914407988587732,2.1980754546436825
501,1,0.7,1,3.2766785598443073,2.847462820266674
502,1,0.7,2,3.657324840764331,3.1564939119339286
503,1,0.7,3,3.8448876226654005,3.296705848843932
504,1,0.7,4,3.943724312361682,3.373351633335214
